Zeit,Kessel,Kessel Soll,Kesseldruck,Abgas,Restsauerstoff,Abgasgebläse,Verbrauch seit Aschebox leeren,Inhalt Pelletsbehälter,Kollektor,Ladezustand,Angeforderte Leistung,Fühler 1 (oben),Fühler 2,Fühler 3,Fühler 4,Fühler 5,Vorlauf,Heizkurve,Vorrat,Außentemperatur,Externe Störmeldung
 17.03.2024 13:48:15,63°C,57°C,"1,79bar",42°C,---,0U/min,1323kg,45kg,57°C,44%,xxx,69°C,69°C,65°C,61°C,39°C,31°C,28°C,2203kg,"11,2°C",
 17.03.2024 13:49:26,63°C,57°C,"1,79bar",42°C,---,0U/min,1323kg,45kg,57°C,44%,xxx,69°C,69°C,65°C,61°C,39°C,27°C,28°C,2203kg,"11,2°C",
 17.03.2024 13:50:37,63°C,57°C,"1,79bar",42°C,---,0U/min,1323kg,45kg,57°C,44%,xxx,69°C,69°C,65°C,61°C,39°C,26°C,28°C,2203kg,"11,3°C",
 17.03.2024 13:51:47,63°C,57°C,"1,79bar",43°C,---,0U/min,1323kg,45kg,57°C,44%,xxx,69°C,69°C,65°C,61°C,39°C,28°C,28°C,2203kg,"11,3°C",
 17.03.2024 14:00:06,63°C,57°C,"1,78bar",42°C,---,0U/min,1323kg,45kg,55°C,43%,xxx,69°C,68°C,64°C,60°C,39°C,68°C,36°C,2203kg
 17.03.2024 14:02:40,62°C,57°C,"1,78bar",42°C,---,0U/min,1323kg,45kg,55°C,43%,xxx,68°C,68°C,64°C,60°C,39°C,31°C,28°C,2203kg,"11,2°C",
 17.03.2024 14:03:50,62°C,57°C,"1,78bar",42°C,---,0U/min,1323kg,45kg,55°C,43%,xxx,68°C,68°C,64°C,60°C,39°C,27°C,28°C,2203kg,"11,2°C",
 17.03.2024 14:05:01,62°C,57°C,"1,77bar",42°C,---,0U/min,1323kg,45kg,54°C,42%,xxx,68°C,68°C,64°C,60°C,39°C,27°C,28°C,2203kg,"11,1°C",
 17.03.2024 14:06:11,62°C,57°C,"1,77bar",42°C,---,0U/min,1323kg,45kg,54°C,42%,xxx,68°C,68°C,64°C,60°C,39°C,31°C,28°C,2203kg,"11,1°C",
 17.03.2024 14:07:30,62°C,57°C,"1,77bar",42°C,---,0U/min,1323kg,45kg,53°C,42%,xxx,68°C,68°C,64°C,60°C,39°C,27°C,28°C,2203kg,"11,1°C",
 17.03.2024 14:08:40,62°C,57°C,"1,77bar",42°C,---,0U/min,1323kg,45kg,53°C,42%,xxx,68°C,68°C,64°C,59°C,39°C,28°C,28°C,2203kg,"11,0°C",
 17.03.2024 14:09:51,62°C,57°C,"1,77bar",42°C,---,0U/min,1323kg,45kg,53°C,42%,xxx,68°C,68°C,64°C,59°C,39°C,29°C,28°C,2203kg,"11,0°C",
 17.03.2024 14:11:21,62°C,57°C,"1,77bar",42°C,---,0U/min,1323kg,45kg,53°C,41%,xxx,68°C,68°C,64°C,59°C,39°C,26°C,28°C,2203kg,"11,0°C",
